Unnamed: 0,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Owner,Seller Type,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Base_Model,Power_weight_ratio,power_torque_ratio,estimated_acceleration,torque_to_engine,engine_stress,specific_power,specific_torque,rpm_efficiency,norm_power,norm_torque,performance_index,Brand_Category
1700,1.6,19.4,275000,2013,85785,0.2,0.2,0.3,0.3,0.2,3775.0,1680.0,1620.0,5.0,43.0,7.2,0.04506172839506173,0.38421052631578945,0.009779951100244499,0.15224358974358973,2.0,58.493589743589745,152.24358974358975,2000.0,0.01825,0.095,139.8,0.1
1701,1.8,19.9,2400000,2010,34105,0.6,0.1,0.1,0.3,0.3,4082.0,1777.0,1297.0,2.0,70.0,7.5,0.1272166538164996,0.6875,0.005442176870748299,0.133630289532294,2.2857142857142856,91.87082405345211,133.63028953229397,2250.0,0.04125,0.13714285714285715,217.85714285714286,0.2
1702,0.6,6.6,269000,2010,73000,0.6,0.2,0.3,0.3,0.2,4420.0,1695.0,1480.0,5.0,42.0,2.4,0.07972972972972973,0.8082191780821918,0.008,0.09752839011356046,2.2857142857142856,78.82431529726118,97.52839011356045,2250.0,0.0295,0.08342857142857144,152.05714285714285,0.3
1703,0.7,11.4,650000,2016,100000,0.6,0.2,0.1,0.3,0.2,3985.0,1734.0,1505.0,5.0,45.0,3.9,0.05448504983388704,0.7130434782608696,0.0110803324099723,0.0960735171261487,1.5,68.50459482038428,96.0735171261487,2000.0,0.013666666666666667,0.02875,110.19999999999999,0.1
1704,0.7,20.8,545000,2019,43000,0.1,0.2,0.1,0.3,0.2,3610.0,1645.0,1560.0,5.0,60.0,7.9,0.03717948717948718,0.6904761904761905,0.015503875968992248,0.07734806629834254,1.2222222222222223,53.40699815837937,77.34806629834253,1000.0,0.010545454545454545,0.018666666666666668,80.62222222222223,0.1
1705,0.6,3.1,395000,2014,44527,0.6,0.2,0.1,0.3,0.2,3990.0,1680.0,1505.0,5.0,35.0,1.3,0.05780730897009967,0.7981651376146789,0.010810810810810811,0.09098497495826377,1.3333333333333333,72.62103505843072,90.98497495826378,1500.0,0.0145,0.02422222222222222,109.13333333333333,0.3
1706,0.5,12.9,270000,2015,64000,0.6,0.2,0.1,0.3,0.2,3795.0,1680.0,1427.0,5.0,45.0,4.5,0.04905395935529082,0.6862745098039216,0.01282051282051282,0.08528428093645485,1.5625,58.52842809364549,85.28428093645485,2250.0,0.0112,0.0255,98.42500000000001,0.1
1707,1.5,29.1,1095000,2018,57000,0.2,0.2,0.1,0.3,0.2,4585.0,1890.0,1785.0,7.0,70.0,10.7,0.08571428571428572,0.425,0.004884004884004884,0.16521340064249657,2.142857142857143,70.21569527306104,165.21340064249657,2000.0,0.0408,0.2057142857142857,257.22857142857146,0.1
1708,2.4,24.3,11500000,2022,4000,0.4,0.1,0.1,0.3,0.1,4935.0,1850.0,1895.0,7.0,58.0,9.0,0.06068601583113457,0.5808080808080808,0.007366482504604052,0.07939053728949479,1.6785714285714286,46.11066559743384,79.39053728949479,1900.0,0.02446808510638298,0.07071428571428572,164.98571428571427,0.3
1709,0.6,4.2,365000,2014,31000,0.6,0.2,0.1,0.3,0.2,3610.0,1680.0,1500.0,5.0,35.0,1.8,0.058,0.7981651376146789,0.010810810810810811,0.09098497495826377,1.3333333333333333,72.62103505843072,90.98497495826378,1500.0,0.0145,0.02422222222222222,109.13333333333333,0.3
1710,2.0,16.6,420000,2017,43000,0.6,0.2,0.5,0.3,0.2,3679.0,1579.0,1478.0,5.0,28.0,6.0,0.04533152909336942,0.7362637362637363,0.0136986301369863,0.09109109109109109,1.2941176470588236,67.06706706706707,91.09109109109109,1250.0,0.012181818181818183,0.021411764705882352,89.54117647058823,0.1
1711,1.8,10.4,7475000,2021,13000,0.2,0.1,0.1,0.3,0.3,5063.0,1860.0,1494.0,5.0,80.0,3.4,0.1285140562248996,0.48,0.004098360655737705,0.20512820512820512,2.375,98.46153846153847,205.12820512820514,2200.0,0.05052631578947368,0.25,298.95,0.2
1712,0.1,1.5,2380000,2019,36000,0.2,0.1,0.3,0.3,0.2,4456.0,1796.0,1416.0,5.0,50.0,0.6,0.09957627118644068,0.440625,0.005383580080753701,0.16260162601626016,2.0,71.64634146341463,162.60162601626016,1750.0,0.040285714285714286,0.18285714285714286,232.6,0.2
1713,1.6,9.5,685000,2019,74000,0.6,0.2,0.1,0.3,0.2,3995.0,1735.0,1515.0,5.0,37.0,3.1,0.058745874587458745,0.7876106194690266,0.010526315789473684,0.09440267335004177,1.3636363636363635,74.35254803675856,94.40267335004177,1600.0,0.014833333333333334,0.02568181818181818,112.23636363636363,0.1
1714,2.3,15.1,850000,2018,65000,0.2,0.2,0.1,0.3,0.3,4788.0,1903.0,1791.0,7.0,60.0,5.5,0.08598548297040759,0.385,0.004640371229698376,0.18357044515832951,2.3529411764705883,70.67462138595687,183.57044515832953,2300.0,0.0385,0.23529411764705882,275.92941176470583,0.1
1715,1.8,19.5,20000000,2021,6600,0.6,0.1,0.1,0.3,0.3,5246.0,1899.0,1494.0,5.0,80.0,7.3,0.24230254350736277,0.724,0.0025220680958385876,0.16688918558077437,2.9166666666666665,120.82777036048064,166.88918558077435,3450.0,0.06895238095238095,0.2777777777777778,446.3666666666667,0.2
